                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.89065,                0.71751,                 1.0721,                0.89084,                0.79359,                0.86826,                 0.6934,                0.85913,                0.59629,                0.96687,             9.7087e-05,             9.7087e-05,             9.7087e-05
                     96,                 0.9512,                0.74932,                 1.0759,                0.89323,                0.78692,                0.87269,                0.69925,                0.84225,                0.59891,                0.96292,             9.6852e-05,             9.6852e-05,             9.6852e-05
                     97,                 0.9261,                0.71764,                 1.0499,                0.89854,                0.80082,                0.87384,                0.70782,                0.84913,                0.59761,                0.96447,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     98,                0.97729,                0.74206,                  1.084,                0.83478,                 0.8188,                0.87003,                    0.7,                0.83502,                0.60087,                0.95832,              9.638e-05,              9.638e-05,              9.638e-05
                     99,                0.90627,                0.70906,                 1.0536,                 0.8659,                0.80819,                0.87107,                0.69235,                0.84156,                0.58779,                0.96026,             9.6145e-05,             9.6145e-05,             9.6145e-05
                    100,                0.99582,                0.76657,                 1.0727,                0.91366,                0.77963,                0.86745,                0.70426,                0.82367,                0.58317,                0.95526,             9.5909e-05,             9.5909e-05,             9.5909e-05
                    101,                0.95621,                0.74982,                 1.0727,                0.85489,                0.82362,                0.87572,                0.70222,                0.84286,                0.58325,                0.96102,             9.5674e-05,             9.5674e-05,             9.5674e-05
                    102,                0.96669,                0.74098,                 1.0669,                 0.8593,                0.80608,                  0.869,                0.70276,                0.83597,                 0.5839,                0.95966,             9.5438e-05,             9.5438e-05,             9.5438e-05
                    103,                0.91698,                0.72366,                 1.0371,                0.91573,                0.78947,                0.88208,                 0.7043,                0.83416,                0.58715,                0.95809,             9.5202e-05,             9.5202e-05,             9.5202e-05
                    104,                0.90782,                0.73307,                 1.0629,                0.90288,                0.79307,                0.87583,                0.70122,                0.84107,                0.58307,                0.95546,             9.4967e-05,             9.4967e-05,             9.4967e-05
                    105,                0.91699,                0.71274,                 1.0462,                0.88727,                0.80743,                0.88458,                0.70941,                0.82877,                0.58407,                0.95432,             9.4731e-05,             9.4731e-05,             9.4731e-05
                    106,                0.90515,                0.70393,                 1.0344,                0.86379,                0.82426,                0.88677,                0.70247,                0.84346,                0.58407,                0.96029,             9.4496e-05,             9.4496e-05,             9.4496e-05
                    107,                0.90682,                0.70679,                 1.0387,                0.86478,                0.80618,                 0.8766,                0.70252,                0.84567,                0.58343,                0.96052,              9.426e-05,              9.426e-05,              9.426e-05
                    108,                0.92993,                0.73668,                 1.0477,                0.87425,                0.80867,                0.86407,                0.69661,                0.84229,                 0.5847,                0.95684,             9.4024e-05,             9.4024e-05,             9.4024e-05
                    109,                0.89726,                0.71303,                 1.0601,                0.88375,                0.78748,                0.87899,                0.70342,                0.83478,                0.58185,                0.95745,             9.3789e-05,             9.3789e-05,             9.3789e-05
                    110,                0.98371,                0.74284,                 1.0788,                0.86732,                0.80455,                0.87327,                0.70961,                0.82299,                0.57492,                0.95359,             9.3553e-05,             9.3553e-05,             9.3553e-05
                    111,                0.93379,                0.73625,                 1.0621,                0.88435,                0.79645,                0.86805,                0.70702,                0.83135,                0.57608,                0.95521,             9.3317e-05,             9.3317e-05,             9.3317e-05
