                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.0881,                 0.9944,                 1.1568,                0.79518,                0.72663,                0.80638,                0.61718,                0.97041,                0.77233,                 1.0708,             9.1904e-05,             9.1904e-05,             9.1904e-05
                    118,                 1.0239,                 1.0147,                  1.144,                0.82088,                0.72089,                0.80596,                0.61564,                0.97043,                0.75876,                 1.0673,             9.1668e-05,             9.1668e-05,             9.1668e-05
                    119,                 1.0904,                 1.0201,                  1.169,                0.86736,                 0.6998,                0.81189,                0.62313,                0.96316,                0.75574,                  1.068,             9.1432e-05,             9.1432e-05,             9.1432e-05
                    120,                 1.0607,                0.99215,                  1.158,                0.82911,                0.70061,                0.81072,                0.62014,                0.96182,                0.75622,                 1.0665,             9.1197e-05,             9.1197e-05,             9.1197e-05
                    121,                 1.0132,                0.96983,                 1.1342,                0.79351,                0.75278,                0.80084,                0.62079,                0.96405,                0.75632,                 1.0596,             9.0961e-05,             9.0961e-05,             9.0961e-05
                    122,                 1.0914,                 1.0246,                 1.1534,                 0.8369,                0.71168,                0.80736,                  0.625,                0.95308,                0.75606,                  1.064,             9.0726e-05,             9.0726e-05,             9.0726e-05
                    123,                 1.0829,                 1.0337,                 1.1595,                0.76856,                0.74775,                0.79835,                0.61917,                 0.9462,                0.74686,                 1.0562,              9.049e-05,              9.049e-05,              9.049e-05
                    124,                 1.0914,                 1.0222,                 1.1633,                0.84711,                0.71511,                0.80784,                0.61471,                0.95927,                 0.7561,                 1.0592,             9.0254e-05,             9.0254e-05,             9.0254e-05
                    125,                 1.0371,                0.98275,                 1.1512,                0.83731,                0.72787,                0.80631,                 0.6386,                0.94352,                0.74201,                 1.0511,             9.0019e-05,             9.0019e-05,             9.0019e-05
                    126,                 1.0969,                 1.0229,                 1.1549,                0.79918,                0.73607,                0.80194,                0.62767,                0.95044,                0.74403,                 1.0583,             8.9783e-05,             8.9783e-05,             8.9783e-05
                    127,                 1.0838,                 1.0416,                 1.1625,                0.79017,                0.76616,                0.82031,                0.63752,                0.94336,                 0.7348,                 1.0504,             8.9547e-05,             8.9547e-05,             8.9547e-05
                    128,                 1.0745,                 1.0421,                 1.1886,                0.79748,                0.73449,                0.80946,                 0.6221,                0.95348,                0.75005,                 1.0561,             8.9312e-05,             8.9312e-05,             8.9312e-05
                    129,                 1.0255,                0.99406,                 1.1432,                0.79668,                0.73566,                 0.8069,                0.62162,                0.95461,                 0.7593,                 1.0577,             8.9076e-05,             8.9076e-05,             8.9076e-05
                    130,                 1.0334,                0.95985,                 1.1419,                0.79522,                0.75941,                0.82275,                0.63631,                0.94817,                0.74837,                 1.0483,             8.8841e-05,             8.8841e-05,             8.8841e-05
                    131,                 1.0307,                 1.0068,                 1.1367,                0.85353,                0.72365,                0.82113,                0.64494,                0.92871,                0.74152,                 1.0388,             8.8605e-05,             8.8605e-05,             8.8605e-05
                    132,                 1.0202,                0.98347,                  1.142,                0.79579,                0.72873,                0.82352,                0.63801,                0.94546,                0.75137,                 1.0487,             8.8369e-05,             8.8369e-05,             8.8369e-05
                    133,                 1.0728,                 1.0279,                 1.1751,                 0.8601,                0.71252,                0.81934,                0.64135,                0.93739,                0.74817,                 1.0469,             8.8134e-05,             8.8134e-05,             8.8134e-05
                    134,                 1.0311,                 1.0108,                 1.1468,                0.84924,                0.74936,                0.82267,                0.65696,                0.92385,                 0.7255,                 1.0403,             8.7898e-05,             8.7898e-05,             8.7898e-05
                    135,                 1.0655,                 1.0169,                 1.1614,                0.84844,                0.73281,                0.80975,                0.63628,                0.92368,                0.73041,                 1.0352,             8.7663e-05,             8.7663e-05,             8.7663e-05
                    136,                 1.0024,                0.92755,                 1.1131,                0.81191,                0.76391,                 0.8251,                0.65344,                0.91537,                0.73036,                  1.034,             8.7427e-05,             8.7427e-05,             8.7427e-05
                    137,                 1.0412,                0.96489,                 1.1355,                0.87195,                0.72182,                0.81704,                0.64773,                0.91978,                0.73405,                 1.0374,             8.7191e-05,             8.7191e-05,             8.7191e-05
                    138,                 0.9964,                0.93385,                  1.137,                0.83211,                0.74197,                0.82018,                0.64064,                 0.9211,                0.74419,                 1.0374,             8.6956e-05,             8.6956e-05,             8.6956e-05
                    139,                 1.0185,                0.93336,                  1.127,                 0.8446,                 0.7508,                0.82448,                0.64983,                0.91659,                0.73152,                 1.0349,              8.672e-05,              8.672e-05,              8.672e-05
                    140,                 1.0102,                 0.9617,                 1.1179,                0.81808,                0.75556,                0.82447,                 0.6583,                0.91733,                0.72127,                 1.0342,             8.6484e-05,             8.6484e-05,             8.6484e-05
                    141,                 1.0189,                0.93335,                 1.1361,                 0.7892,                0.76585,                0.80978,                  0.642,                0.91244,                0.71029,                 1.0335,             8.6249e-05,             8.6249e-05,             8.6249e-05
                    142,                0.98649,                0.97073,                 1.1159,                0.80509,                0.77553,                0.82309,                0.64622,                0.91107,                0.71057,                 1.0298,             8.6013e-05,             8.6013e-05,             8.6013e-05
                    143,                 1.0145,                0.94629,                 1.1176,                 0.8441,                0.76712,                0.83355,                0.66363,                0.91022,                0.71008,                 1.0329,             8.5778e-05,             8.5778e-05,             8.5778e-05
                    144,                 1.0082,                0.94891,                 1.1338,                 0.8352,                0.74192,                0.82336,                0.65773,                0.90457,                0.71198,                 1.0303,             8.5542e-05,             8.5542e-05,             8.5542e-05
                    145,                 1.0338,                0.98493,                 1.1502,                 0.8693,                0.72362,                0.82372,                0.64251,                0.90168,                0.71336,                  1.028,             8.5306e-05,             8.5306e-05,             8.5306e-05
